# NACA0012M0
0.099409	0.022758
0.100596	0.023800
0.101792	0.024835
0.102996	0.025862
0.104209	0.026881
0.105432	0.027893
0.106663	0.028896
0.107805	0.029813
0.108709	0.030519
0.109620	0.031209
0.110540	0.031881
0.111468	0.032536
0.112406	0.033175
0.113352	0.033798
0.114308	0.034405
0.115273	0.034996
0.116476	0.035704
0.118159	0.036687
0.119842	0.037670
0.121526	0.038654
0.123211	0.039637
0.124896	0.040622
0.126574	0.041602
0.128138	0.042513
0.129699	0.043416
0.131262	0.044313
0.132827	0.045206
0.134394	0.046094
0.135964	0.046977
0.137536	0.047855
0.139110	0.048728
0.140687	0.049596
0.142265	0.050459
0.143846	0.051317
